scientific_name,year_discovered,family_scientific_name
"Lycocorax Bonaparte, 1853",1853,(SELECT scientific_name FROM families WHERE scientific_name = 'Paradisaeidae')
"Hartlaubius Bonaparte, 1853",1853,(SELECT scientific_name FROM families WHERE scientific_name = 'Sturnidae')
"Melopyrrha Bonaparte, 1853",1853,(SELECT scientific_name FROM families WHERE scientific_name = 'Thraupidae')
"Adelomyia Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Trochilidae')
"Reinwardtoena Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Turacoena Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Phapitreron Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Hemiphaga Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Columbidae')
"Creagrus Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Laridae')
"Kaupifalco Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Accipitridae')
"Gymnasio Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Strigidae')
"Urocolius Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Coliidae')
"Apalharpactes Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Trogonidae')
"Ceratogymna Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Bucerotidae')
"Brachygalba Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Galbulidae')
"Xiphidiopicus Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Pardipicus Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
"Yungipicus Bonaparte, 1854",1854,(SELECT scientific_name FROM families WHERE scientific_name = 'Picidae')
