scientific_name,common_name,year_discovered,genus_scientific_name
"Phylidonyris niger (Bechstein, 1811)",White-cheeked Honeyeater,1811,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Phylidonyris Lesson, RP, 1830')"
"Chalcomitra fuliginosa (Bechstein, 1811)",Carmelite Sunbird,1811,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chalcomitra Reichenbach, 1853')"
"Bartramia longicauda (Bechstein, 1812)",Upland Sandpiper,1812,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Bartramia Lesson, RP, 1831')"
"Balearica regulorum (Bennett, ET, 1834)",Grey Crowned Crane,1834,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Balearica Brisson, 1760')"
"Anous ceruleus (Bennett, FD, 1840)",Blue Noddy,1840,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Anous Stephens, 1826')"
"Oreophilais robertsi (Benson, 1946)",Robertss Warbler,1946,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Oreophilais Clancey, 1991')"
"Hypsipetes moheliensis (Benson, 1960)",Moheli Bulbul,1960,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hypsipetes Vigors, 1831')"
"Ianthocincla sukatschewi (Berezowski & Bianchi, 1891)",Snowy-cheeked Laughingthrush,1891,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Ianthocincla Gould, 1835')"
"Calliope obscura (Berezowski & Bianchi, 1891)",Blackthroat,1891,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Calliope Gould, 1836')"
"Myiornis albiventris (Berlepsch & Stolzmann, 1894)",White-bellied Pygmy Tyrant,1894,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiornis Bertoni, AW, 1901')"
"Silvicultrix spodionota (Berlepsch & Stolzmann, 1896)",Kalinowskis Chat-Tyrant,1896,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Silvicultrix Lanyon, W, 1986')"
"Charadrius alticola (Berlepsch & Stolzmann, 1902)",Puna Plover,1902,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Charadrius Linnaeus, 1758')"
"Myiothlypis signata (Berlepsch & Stolzmann, 1906)",Pale-legged Warbler,1906,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Myiothlypis Cabanis, 1851')"
"Spinus siemiradzkii (Berlepsch & Taczanowski, 1884)",Saffron Siskin,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Spinus Koch, 1816')"
"Chlorothraupis stolzmanni (Berlepsch & Taczanowski, 1884)",Ochre-breasted Tanager,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Chlorothraupis Salvin & Godman, 1883')"
"Sphenopsis ochracea (Berlepsch & Taczanowski, 1884)",Western Hemispingus,1884,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Sphenopsis Sclater, PL, 1862')"
"Elliotomyia viridicauda (Berlepsch, 1883)",Green-and-white Hummingbird,1883,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Elliotomyia Stiles & Remsen, 2019')"
"Lepidothrix velutina (Berlepsch, 1883)",Velvety Manakin,1883,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Lepidothrix Bonaparte, 1854')"
"Kleinothraupis reyi (Berlepsch, 1885)",Grey-capped Hemispingus,1885,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Kleinothraupis Burns, KJ, Unitt & Mason, NA, 2016')"
"Cynanthus lawrencei (Berlepsch, 1887)",Tres Marias Hummingbird,1887,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Cynanthus Swainson, 1827')"
"Asthenes coryi (Berlepsch, 1888)",Ochre-browed Thistletail,1888,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Asthenes Reichenbach, 1853')"
"Tarphonomus harterti (Berlepsch, 1892)",Bolivian Earthcreeper,1892,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Tarphonomus Chesser & Brumfield, 2007')"
"Poospiza garleppi (Berlepsch, 1893)",Cochabamba Mountain Finch,1893,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Poospiza Cabanis, 1847')"
"Pyrilia pulchra (Berlepsch, 1897)",Rose-faced Parrot,1897,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pyrilia Bonaparte, 1856')"
"Entomodestes coracinus (Berlepsch, 1897)",Black Solitaire,1897,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Entomodestes Stejneger, 1883')"
"Bangsia rothschildi (Berlepsch, 1897)",Golden-chested Tanager,1897,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Bangsia Penard, TE, 1919')"
"Asthenes maculicauda (Berlepsch, 1901)",Scribble-tailed Canastero,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Asthenes Reichenbach, 1853')"
"Asthenes harterti (Berlepsch, 1901)",Black-throated Thistletail,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Asthenes Reichenbach, 1853')"
"Asthenes ottonis (Berlepsch, 1901)",Rusty-fronted Canastero,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Asthenes Reichenbach, 1853')"
"Asthenes heterura (Berlepsch, 1901)",Maquis Canastero,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Asthenes Reichenbach, 1853')"
"Euchrepomis sharpei (Berlepsch, 1901)",Yellow-rumped Antwren,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Euchrepomis Bravo, Remsen, Whitney & Brumfield, 2012')"
"Oneillornis salvini (Berlepsch, 1901)",White-throated Antbird,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Oneillornis Isler, ML, Bravo & Brumfield, 2014')"
"Pseudotriccus simplex (Berlepsch, 1901)",Hazel-fronted Pygmy Tyrant,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Pseudotriccus Taczanowski & Berlepsch, 1885')"
"Hemitriccus spodiops (Berlepsch, 1901)",Yungas Tody-Tyrant,1901,"(SELECT scientific_name FROM genera WHERE scientific_name = 'Hemitriccus Cabanis & Heine, 1860')"
